#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.17e+01    2.42e+01      4.56e-01    4.57e-01      6.87e-01    7.66e-01    1.0e-03
    200      4.72e+00    5.22e+00      1.98e+00    1.98e+00      1.56e-01    1.75e-01    8.1e-04
    400      1.86e+00    1.98e+00      1.10e+00    1.10e+00      5.76e-02    6.33e-02    6.6e-04
    600      9.83e-01    1.43e+00      3.87e-01    3.87e-01      3.74e-02    5.81e-02    5.4e-04
    800      7.61e-01    5.40e-01      1.03e-01    1.03e-01      3.57e-02    2.49e-02    4.4e-04
   1000      6.36e-01    7.72e-01      2.65e-02    2.57e-02      3.35e-02    4.07e-02    3.6e-04
   1200      6.22e-01    4.41e-01      1.20e-02    1.21e-02      3.63e-02    2.58e-02    2.9e-04
   1400      4.82e-01    4.52e-01      9.34e-03    8.92e-03      3.12e-02    2.93e-02    2.4e-04
   1600      3.83e-01    3.88e-01      4.35e-03    4.15e-03      2.74e-02    2.78e-02    1.9e-04
   1800      3.93e-01    4.82e-01      3.54e-03    3.52e-03      3.12e-02    3.82e-02    1.6e-04
   2000      3.36e-01    4.01e-01      1.86e-03    1.75e-03      2.95e-02    3.52e-02    1.3e-04
   2200      3.20e-01    2.49e-01      2.31e-03    1.70e-03      3.11e-02    2.42e-02    1.0e-04
   2400      2.57e-01    2.41e-01      1.35e-03    1.18e-03      2.76e-02    2.59e-02    8.5e-05
   2600      2.38e-01    2.77e-01      1.63e-03    8.99e-04      2.84e-02    3.31e-02    6.9e-05
   2800      2.39e-01    1.91e-01      1.19e-03    1.26e-03      3.15e-02    2.51e-02    5.7e-05
   3000      2.03e-01    2.22e-01      1.29e-03    1.06e-03      2.96e-02    3.23e-02    4.6e-05
   3200      2.01e-01    1.37e-01      1.44e-03    1.20e-03      3.23e-02    2.21e-02    3.8e-05
   3400      1.57e-01    1.30e-01      1.17e-03    9.51e-04      2.79e-02    2.32e-02    3.1e-05
   3600      1.40e-01    1.34e-01      1.35e-03    1.24e-03      2.76e-02    2.64e-02    2.5e-05
   3800      1.41e-01    1.26e-01      1.21e-03    1.24e-03      3.05e-02    2.72e-02    2.0e-05
   4000      1.19e-01    1.19e-01      1.02e-03    9.98e-04      2.85e-02    2.84e-02    1.7e-05
   4200      1.22e-01    1.28e-01      1.18e-03    1.21e-03      3.20e-02    3.37e-02    1.3e-05
   4400      1.04e-01    1.12e-01      1.13e-03    7.73e-04      3.00e-02    3.25e-02    1.1e-05
   4600      9.24e-02    8.43e-02      1.04e-03    1.04e-03      2.93e-02    2.68e-02    8.9e-06
   4800      8.59e-02    8.43e-02      1.10e-03    9.64e-04      2.99e-02    2.93e-02    7.3e-06
   5000      7.73e-02    6.70e-02      9.86e-04    9.57e-04      2.94e-02    2.55e-02    5.9e-06
   5200      7.01e-02    7.45e-02      1.01e-03    8.63e-04      2.91e-02    3.09e-02    4.8e-06
   5400      6.77e-02    6.14e-02      1.09e-03    5.07e-04      3.05e-02    2.76e-02    3.9e-06
   5600      6.19e-02    4.84e-02      1.10e-03    9.73e-04      3.02e-02    2.36e-02    3.2e-06
   5800      5.06e-02    4.96e-02      1.03e-03    9.57e-04      2.66e-02    2.61e-02    2.6e-06
   6000      5.21e-02    4.00e-02      1.03e-03    1.07e-03      2.95e-02    2.26e-02    2.1e-06
   6200      4.97e-02    4.44e-02      1.16e-03    8.37e-04      3.01e-02    2.69e-02    1.7e-06
   6400      4.03e-02    4.11e-02      9.92e-04    1.24e-03      2.59e-02    2.64e-02    1.4e-06
   6600      4.14e-02    3.77e-02      9.71e-04    6.61e-04      2.82e-02    2.57e-02    1.1e-06
   6800      4.37e-02    2.99e-02      1.20e-03    1.02e-03      3.14e-02    2.15e-02    9.3e-07
   7000      3.71e-02    4.61e-02      1.02e-03    1.16e-03      2.79e-02    3.47e-02    7.6e-07
   7200      3.70e-02    3.42e-02      9.61e-04    9.44e-04      2.90e-02    2.68e-02    6.2e-07
   7400      3.45e-02    3.64e-02      1.07e-03    1.12e-03      2.81e-02    2.96e-02    5.1e-07
   7600      3.41e-02    3.40e-02      1.02e-03    1.03e-03      2.87e-02    2.86e-02    4.1e-07
   7800      3.36e-02    3.28e-02      9.92e-04    6.79e-04      2.90e-02    2.83e-02    3.4e-07
   8000      3.40e-02    3.68e-02      1.11e-03    9.52e-04      3.01e-02    3.26e-02    2.7e-07
   8200      3.32e-02    3.36e-02      1.17e-03    1.45e-03      2.99e-02    3.03e-02    2.2e-07
   8400      3.08e-02    3.38e-02      1.05e-03    7.43e-04      2.83e-02    3.11e-02    1.8e-07
   8600      3.00e-02    3.24e-02      1.21e-03    1.04e-03      2.79e-02    3.02e-02    1.5e-07
   8800      3.18e-02    2.80e-02      9.88e-04    1.06e-03      3.00e-02    2.64e-02    1.2e-07
   9000      2.97e-02    3.37e-02      1.09e-03    1.33e-03      2.83e-02    3.21e-02    9.8e-08
   9200      2.79e-02    2.97e-02      1.12e-03    8.66e-04      2.68e-02    2.85e-02    8.0e-08
   9400      3.24e-02    3.19e-02      8.35e-04    8.59e-04      3.14e-02    3.09e-02    6.5e-08
   9600      3.31e-02    2.34e-02      1.07e-03    7.64e-04      3.22e-02    2.28e-02    5.3e-08
   9800      2.90e-02    2.42e-02      1.16e-03    6.13e-04      2.83e-02    2.37e-02    4.3e-08
  10000      2.83e-02    3.72e-02      9.70e-04    9.66e-04      2.78e-02    3.65e-02    3.5e-08
