#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  14400      1.73e+00    1.20e+00      2.41e-02    2.42e-02      1.14e-01    7.92e-02    2.3e-04
  14600      3.84e+00    2.47e+00      1.35e-01    1.36e-01      2.54e-01    1.62e-01    2.2e-04
  14800      2.22e+00    2.63e+00      2.99e-02    2.91e-02      1.50e-01    1.77e-01    2.2e-04
  15000      2.79e+00    3.01e+00      4.40e-02    4.60e-02      1.90e-01    2.05e-01    2.1e-04
  15200      1.67e+00    1.59e+00      2.84e-02    2.82e-02      1.15e-01    1.09e-01    2.1e-04
  15400      9.74e-01    2.71e+00      3.48e-02    3.14e-02      6.71e-02    1.88e-01    2.1e-04
  15600      1.45e+00    2.98e+00      1.37e-01    1.39e-01      9.56e-02    2.06e-01    2.0e-04
  15800      9.54e-01    2.07e+00      8.22e-02    8.24e-02      6.44e-02    1.45e-01    2.0e-04
  16000      1.83e+00    3.01e+00      5.94e-03    6.98e-03      1.31e-01    2.15e-01    1.9e-04
  16200      1.62e+00    1.76e+00      5.12e-02    5.12e-02      1.16e-01    1.27e-01    1.9e-04
  16400      3.04e+00    1.81e+00      4.31e-02    4.26e-02      2.22e-01    1.32e-01    1.9e-04
  16600      2.27e+00    2.37e+00      5.46e-02    5.33e-02      1.67e-01    1.74e-01    1.8e-04
  16800      3.03e+00    1.81e+00      1.39e-02    1.37e-02      2.27e-01    1.35e-01    1.8e-04
  17000      2.36e+00    1.05e+00      5.24e-02    5.15e-02      1.77e-01    7.81e-02    1.7e-04
  17200      2.15e+00    1.43e+00      4.24e-02    4.68e-02      1.64e-01    1.09e-01    1.7e-04
  17400      2.05e+00    2.15e+00      1.59e-02    1.69e-02      1.58e-01    1.66e-01    1.7e-04
  17600      2.09e+00    1.53e+00      1.76e-02    1.49e-02      1.63e-01    1.19e-01    1.6e-04
  17800      2.51e+00    1.55e+00      8.37e-02    8.40e-02      1.96e-01    1.20e-01    1.6e-04
  18000      6.67e-01    1.56e+00      6.26e-02    6.02e-02      4.97e-02    1.22e-01    1.6e-04
  18200      6.64e-01    1.53e+00      3.81e-02    3.88e-02      5.20e-02    1.22e-01    1.5e-04
  18400      4.33e-01    2.11e+00      1.45e-03    2.18e-03      3.51e-02    1.71e-01    1.5e-04
  18600      2.29e+00    8.75e-01      2.48e-02    2.78e-02      1.87e-01    7.11e-02    1.5e-04
  18800      1.74e+00    7.53e-01      4.51e-02    4.35e-02      1.43e-01    6.08e-02    1.5e-04
  19000      1.54e+00    1.87e+00      2.43e-03    1.77e-03      1.29e-01    1.56e-01    1.4e-04
  19200      1.97e+00    1.38e+00      1.36e-02    1.39e-02      1.66e-01    1.16e-01    1.4e-04
  19400      1.69e+00    2.60e+00      3.12e-02    3.10e-02      1.44e-01    2.22e-01    1.4e-04
  19600      2.56e+00    1.42e+00      8.64e-03    8.57e-03      2.20e-01    1.23e-01    1.3e-04
  19800      2.13e+00    2.14e+00      2.01e-02    2.01e-02      1.85e-01    1.86e-01    1.3e-04
  20000      9.06e-01    7.84e-01      2.64e-02    2.57e-02      7.91e-02    6.84e-02    1.3e-04
  20200      1.10e+00    1.55e+00      3.69e-02    3.75e-02      9.66e-02    1.37e-01    1.3e-04
  20400      1.27e+00    1.45e+00      1.02e-03    1.16e-03      1.14e-01    1.30e-01    1.2e-04
  20600      1.70e+00    1.83e+00      3.16e-02    3.10e-02      1.53e-01    1.65e-01    1.2e-04
  20800      1.28e+00    1.52e+00      6.55e-03    7.63e-03      1.17e-01    1.39e-01    1.2e-04
  21000      2.07e+00    1.29e+00      2.35e-02    2.54e-02      1.92e-01    1.19e-01    1.2e-04
  21200      1.72e+00    1.83e+00      3.58e-02    3.67e-02      1.60e-01    1.71e-01    1.1e-04
  21400      9.68e-01    1.61e+00      1.18e-02    1.36e-02      9.13e-02    1.52e-01    1.1e-04
  21600      1.33e+00    1.40e+00      1.09e-02    9.81e-03      1.27e-01    1.33e-01    1.1e-04
  21800      1.29e+00    1.48e+00      6.76e-03    7.59e-03      1.24e-01    1.43e-01    1.1e-04
  22000      2.16e+00    1.04e+00      7.15e-03    7.88e-03      2.10e-01    1.02e-01    1.0e-04
  22200      1.39e+00    1.48e+00      1.63e-02    1.92e-02      1.36e-01    1.45e-01    1.0e-04
  22400      1.40e+00    6.35e-01      1.65e-02    1.70e-02      1.39e-01    6.27e-02    1.0e-04
  22600      1.26e+00    7.69e-01      4.48e-03    5.17e-03      1.26e-01    7.71e-02    9.8e-05
  22800      1.07e+00    1.14e+00      6.85e-03    6.76e-03      1.08e-01    1.16e-01    9.6e-05
  23000      5.32e-01    5.06e-01      3.70e-02    3.71e-02      5.25e-02    4.97e-02    9.4e-05
  23200      5.77e-01    1.34e+00      1.48e-02    1.53e-02      5.94e-02    1.39e-01    9.3e-05
  23400      2.15e+00    8.65e-01      4.17e-03    1.77e-03      2.25e-01    9.04e-02    9.1e-05
  23600      1.20e+00    1.02e+00      3.96e-03    2.97e-03      1.26e-01    1.08e-01    8.9e-05
  23800      1.16e+00    1.26e+00      1.05e-02    1.25e-02      1.24e-01    1.34e-01    8.7e-05
  24000      4.96e-01    1.41e+00      8.85e-03    1.20e-02      5.33e-02    1.52e-01    8.5e-05
  24200      1.38e+00    1.73e+00      1.43e-02    1.27e-02      1.50e-01    1.89e-01    8.4e-05
  24400      1.03e+00    1.50e+00      3.43e-02    3.63e-02      1.13e-01    1.65e-01    8.2e-05
  24600      2.06e+00    1.02e+00      1.09e-02    1.06e-02      2.28e-01    1.13e-01    8.0e-05
  24800      1.14e+00    1.37e+00      1.35e-03    2.17e-03      1.28e-01    1.54e-01    7.9e-05
  25000      4.29e-01    1.20e+00      1.03e-02    1.19e-02      4.83e-02    1.36e-01    7.7e-05
  25200      5.61e-01    6.37e-01      7.47e-03    7.69e-03      6.41e-02    7.29e-02    7.5e-05
  25400      7.31e-01    5.05e-01      1.46e-02    1.31e-02      8.43e-02    5.82e-02    7.4e-05
  25600      9.24e-01    1.07e+00      1.53e-02    1.59e-02      1.08e-01    1.24e-01    7.2e-05
  25800      9.69e-01    6.51e-01      5.84e-03    5.60e-03      1.14e-01    7.68e-02    7.1e-05
  26000      1.36e+00    8.08e-01      1.03e-02    7.11e-03      1.62e-01    9.62e-02    6.9e-05
  26200      6.66e-01    1.14e+00      1.35e-02    1.63e-02      7.99e-02    1.37e-01    6.8e-05
  26400      1.51e+00    8.27e-01      3.65e-03    1.47e-03      1.84e-01    1.01e-01    6.7e-05
  26600      1.08e+00    3.62e-01      7.59e-03    6.20e-03      1.32e-01    4.44e-02    6.5e-05
  26800      1.35e+00    3.12e-01      1.01e-02    7.41e-03      1.67e-01    3.86e-02    6.4e-05
  27000      1.18e+00    9.69e-01      1.91e-03    1.43e-03      1.48e-01    1.21e-01    6.3e-05
  27200      1.22e+00    1.16e+00      1.58e-02    1.46e-02      1.55e-01    1.46e-01    6.1e-05
  27400      1.37e+00    7.87e-01      1.15e-02    1.19e-02      1.75e-01    1.01e-01    6.0e-05
  27600      6.10e-01    1.24e+00      9.10e-03    9.22e-03      7.87e-02    1.60e-01    5.9e-05
  27800      5.67e-01    1.01e+00      1.05e-02    1.11e-02      7.38e-02    1.31e-01    5.8e-05
  28000      5.83e-01    1.07e+00      1.40e-02    1.40e-02      7.65e-02    1.41e-01    5.7e-05
  28200      1.04e+00    1.04e+00      8.34e-03    1.02e-02      1.38e-01    1.39e-01    5.5e-05
  28400      9.76e-01    1.40e+00      1.10e-02    1.46e-02      1.31e-01    1.89e-01    5.4e-05
  28600      1.10e+00    5.18e-01      1.91e-02    1.82e-02      1.49e-01    6.97e-02    5.3e-05
  28800      1.59e+00    7.65e-01      3.70e-03    4.56e-03      2.18e-01    1.05e-01    5.2e-05
  29000      1.24e+00    1.14e+00      2.06e-02    2.02e-02      1.71e-01    1.57e-01    5.1e-05
  29200      1.28e+00    6.34e-01      8.31e-03    6.84e-03      1.80e-01    8.87e-02    5.0e-05
  29400      7.76e-01    7.92e-01      6.68e-03    5.85e-03      1.10e-01    1.12e-01    4.9e-05
  29600      1.50e+00    5.32e-01      2.57e-03    1.48e-03      2.15e-01    7.60e-02    4.8e-05
  29800      3.06e-01    8.29e-01      1.69e-02    1.58e-02      4.32e-02    1.19e-01    4.7e-05
  30000      1.94e-01    4.36e-01      3.43e-03    3.04e-03      2.82e-02    6.35e-02    4.6e-05
  30200      1.30e+00    1.26e+00      2.07e-03    5.19e-04      1.91e-01    1.85e-01    4.5e-05
  30400      8.21e-01    8.66e-01      9.70e-03    9.81e-03      1.22e-01    1.29e-01    4.4e-05
  30600      3.73e-01    1.51e+00      1.43e-02    1.54e-02      5.55e-02    2.27e-01    4.3e-05
  30800      8.43e-01    9.31e-01      2.17e-02    2.20e-02      1.27e-01    1.41e-01    4.2e-05
  31000      6.97e-01    8.26e-01      9.65e-03    9.28e-03      1.07e-01    1.26e-01    4.2e-05
  31200      8.19e-01    1.23e+00      8.12e-03    8.20e-03      1.27e-01    1.91e-01    4.1e-05
  31400      8.44e-01    7.44e-01      1.11e-02    9.94e-03      1.32e-01    1.16e-01    4.0e-05
  31600      8.93e-01    1.10e+00      9.22e-03    1.12e-02      1.41e-01    1.73e-01    3.9e-05
  31800      6.47e-01    3.84e-01      1.38e-02    1.39e-02      1.03e-01    6.07e-02    3.8e-05
  32000      7.87e-01    8.43e-01      5.02e-03    4.38e-03      1.27e-01    1.36e-01    3.8e-05
  32200      2.26e-01    1.15e+00      1.74e-03    1.40e-03      3.68e-02    1.87e-01    3.7e-05
  32400      7.69e-01    3.26e-01      3.00e-03    4.41e-03      1.26e-01    5.36e-02    3.6e-05
  32600      1.28e+00    8.89e-01      2.27e-02    2.52e-02      2.12e-01    1.47e-01    3.5e-05
  32800      5.77e-01    7.61e-01      6.55e-04    1.33e-03      9.68e-02    1.28e-01    3.5e-05
  33000      7.14e-01    1.05e+00      6.45e-03    4.10e-03      1.21e-01    1.78e-01    3.4e-05
  33200      8.80e-01    6.92e-01      7.47e-03    7.71e-03      1.50e-01    1.18e-01    3.3e-05
  33400      8.58e-01    5.86e-01      1.90e-02    1.92e-02      1.48e-01    1.01e-01    3.3e-05
  33600      7.36e-01    6.05e-01      1.22e-03    2.60e-03      1.29e-01    1.06e-01    3.2e-05
  33800      4.43e-01    3.12e-01      4.76e-03    5.31e-03      7.79e-02    5.48e-02    3.1e-05
  34000      1.16e+00    3.08e-01      5.04e-03    5.62e-03      2.07e-01    5.47e-02    3.1e-05
  34200      5.79e-01    9.56e-01      2.91e-03    1.60e-03      1.04e-01    1.72e-01    3.0e-05
  34400      6.35e-01    6.80e-01      1.18e-03    1.04e-03      1.15e-01    1.23e-01    2.9e-05
  34600      7.95e-01    6.07e-01      6.87e-04    2.40e-04      1.46e-01    1.11e-01    2.9e-05
  34800      8.53e-01    5.94e-01      5.57e-03    4.79e-03      1.58e-01    1.10e-01    2.8e-05
  35000      5.67e-01    7.90e-01      6.99e-03    7.00e-03      1.06e-01    1.48e-01    2.8e-05
  35200      6.76e-01    7.41e-01      8.63e-04    8.67e-04      1.28e-01    1.40e-01    2.7e-05
  35400      5.18e-01    3.17e-01      5.02e-03    5.35e-03      9.89e-02    6.04e-02    2.6e-05
  35600      8.96e-01    4.61e-01      1.21e-03    5.05e-04      1.73e-01    8.88e-02    2.6e-05
  35800      3.46e-01    8.14e-01      1.62e-03    8.42e-04      6.74e-02    1.58e-01    2.5e-05
  36000      5.31e-01    6.29e-01      6.88e-03    9.13e-03      1.04e-01    1.23e-01    2.5e-05
  36200      6.44e-01    5.43e-01      4.06e-03    2.45e-03      1.28e-01    1.08e-01    2.4e-05
  36400      6.36e-01    3.48e-01      1.22e-02    1.17e-02      1.27e-01    6.91e-02    2.4e-05
  36600      1.03e+00    3.05e-01      2.68e-03    2.40e-03      2.09e-01    6.18e-02    2.3e-05
  36800      2.95e-01    2.79e-01      7.66e-03    7.32e-03      6.00e-02    5.67e-02    2.3e-05
  37000      6.90e-01    7.91e-01      3.28e-03    6.57e-03      1.42e-01    1.63e-01    2.2e-05
  37200      6.38e-01    2.46e-01      7.61e-03    7.67e-03      1.33e-01    5.09e-02    2.2e-05
  37400      4.12e-01    9.91e-01      4.34e-03    5.06e-03      8.66e-02    2.09e-01    2.2e-05
  37600      5.96e-01    2.31e-01      5.74e-03    4.06e-03      1.27e-01    4.90e-02    2.1e-05
  37800      1.89e-01    2.36e-01      2.28e-03    2.79e-03      4.06e-02    5.06e-02    2.1e-05
  38000      5.55e-01    8.82e-01      9.15e-04    4.41e-04      1.20e-01    1.91e-01    2.0e-05
  38200      6.56e-01    4.42e-01      1.18e-03    2.40e-03      1.44e-01    9.67e-02    2.0e-05
  38400      6.90e-01    3.94e-01      1.63e-03    1.95e-03      1.52e-01    8.70e-02    1.9e-05
  38600      6.74e-01    6.77e-01      9.83e-04    3.08e-03      1.50e-01    1.51e-01    1.9e-05
  38800      6.72e-01    4.68e-01      1.08e-02    9.29e-03      1.51e-01    1.05e-01    1.9e-05
  39000      9.43e-01    4.25e-01      5.99e-03    6.17e-03      2.15e-01    9.66e-02    1.8e-05
  39200      5.09e-01    5.20e-01      1.29e-03    2.15e-03      1.17e-01    1.20e-01    1.8e-05
  39400      7.98e-01    5.91e-01      2.47e-03    4.02e-03      1.85e-01    1.37e-01    1.8e-05
  39600      6.03e-01    3.01e-01      1.38e-03    2.70e-03      1.41e-01    7.05e-02    1.7e-05
  39800      6.86e-01    5.72e-01      3.50e-03    3.37e-03      1.62e-01    1.35e-01    1.7e-05
  40000      5.20e-01    1.97e-01      1.41e-03    1.61e-03      1.24e-01    4.69e-02    1.7e-05
  40200      6.12e-01    2.55e-01      9.00e-04    1.74e-03      1.48e-01    6.16e-02    1.6e-05
  40400      4.71e-01    4.37e-01      3.16e-03    1.77e-03      1.15e-01    1.06e-01    1.6e-05
  40600      4.67e-01    7.13e-01      1.59e-03    5.19e-03      1.15e-01    1.75e-01    1.6e-05
  40800      5.41e-01    5.36e-01      3.50e-03    5.23e-03      1.34e-01    1.33e-01    1.5e-05
  41000      5.02e-01    4.93e-01      3.11e-03    4.32e-03      1.26e-01    1.23e-01    1.5e-05
  41200      5.38e-01    3.75e-01      2.87e-03    3.65e-03      1.36e-01    9.48e-02    1.5e-05
  41400      1.99e-01    5.99e-01      5.65e-03    5.98e-03      5.05e-02    1.53e-01    1.4e-05
  41600      4.07e-01    5.98e-01      3.17e-03    2.75e-03      1.05e-01    1.54e-01    1.4e-05
  41800      6.47e-01    6.54e-01      3.89e-03    6.37e-03      1.69e-01    1.70e-01    1.4e-05
  42000      7.08e-01    3.87e-01      3.08e-03    2.20e-03      1.86e-01    1.02e-01    1.3e-05
  42200      2.37e-01    5.95e-01      1.90e-03    1.79e-03      6.28e-02    1.58e-01    1.3e-05
  42400      3.38e-01    3.87e-01      2.42e-03    1.23e-03      9.06e-02    1.04e-01    1.3e-05
  42600      6.11e-01    3.91e-01      3.65e-03    3.00e-03      1.65e-01    1.06e-01    1.3e-05
  42800      5.85e-01    5.39e-01      4.30e-03    1.66e-03      1.60e-01    1.47e-01    1.2e-05
  43000      5.22e-01    2.34e-01      2.11e-03    7.21e-04      1.44e-01    6.46e-02    1.2e-05
  43200      2.27e-01    7.41e-01      2.46e-03    2.36e-03      6.31e-02    2.06e-01    1.2e-05
  43400      3.93e-01    6.91e-01      8.66e-03    7.19e-03      1.10e-01    1.94e-01    1.2e-05
  43600      5.45e-01    7.94e-01      1.43e-03    3.16e-03      1.55e-01    2.25e-01    1.1e-05
  43800      6.41e-01    3.87e-01      2.70e-03    2.73e-03      1.84e-01    1.11e-01    1.1e-05
  44000      6.46e-01    3.85e-01      1.83e-03    3.63e-03      1.87e-01    1.11e-01    1.1e-05
  44200      4.41e-01    4.67e-01      1.22e-03    2.24e-03      1.29e-01    1.36e-01    1.1e-05
  44400      4.33e-01    4.10e-01      1.54e-03    2.30e-03      1.28e-01    1.21e-01    1.1e-05
  44600      6.04e-01    1.90e-01      2.83e-03    8.26e-04      1.80e-01    5.64e-02    1.0e-05
  44800      2.66e-01    4.59e-01      1.52e-03    2.03e-03      8.00e-02    1.38e-01    1.0e-05
  45000      1.95e-01    3.22e-01      2.83e-04    4.47e-04      5.90e-02    9.76e-02    9.9e-06
  45200      4.81e-01    5.79e-01      2.61e-04    4.48e-03      1.47e-01    1.77e-01    9.7e-06
  45400      3.10e-01    2.46e-01      3.15e-03    3.35e-03      9.57e-02    7.59e-02    9.5e-06
  45600      2.36e-01    3.07e-01      3.86e-03    3.78e-03      7.34e-02    9.55e-02    9.3e-06
  45800      1.40e-01    3.60e-01      1.52e-03    1.87e-03      4.40e-02    1.13e-01    9.1e-06
  46000      6.04e-01    1.85e-01      3.13e-03    9.80e-04      1.92e-01    5.87e-02    8.9e-06
  46200      4.75e-01    4.37e-01      3.14e-03    2.97e-03      1.52e-01    1.40e-01    8.7e-06
  46400      4.08e-01    3.97e-01      4.15e-03    4.22e-03      1.32e-01    1.28e-01    8.6e-06
  46600      1.43e-01    3.79e-01      3.69e-03    2.43e-03      4.64e-02    1.24e-01    8.4e-06
  46800      1.55e-01    5.26e-01      3.13e-04    2.45e-03      5.12e-02    1.73e-01    8.2e-06
  47000      2.59e-01    1.78e-01      2.02e-03    1.58e-03      8.61e-02    5.90e-02    8.1e-06
  47200      3.16e-01    4.26e-01      7.46e-04    1.83e-03      1.06e-01    1.43e-01    7.9e-06
  47400      2.94e-01    3.53e-01      4.79e-03    4.58e-03      9.94e-02    1.19e-01    7.7e-06
  47600      4.24e-01    4.99e-01      3.06e-03    5.13e-03      1.45e-01    1.70e-01    7.6e-06
  47800      2.21e-01    3.70e-01      1.09e-03    3.55e-03      7.60e-02    1.28e-01    7.4e-06
  48000      1.74e-01    2.96e-01      1.85e-04    1.32e-03      6.06e-02    1.03e-01    7.3e-06
  48200      4.22e-01    3.98e-01      2.16e-03    1.52e-03      1.48e-01    1.40e-01    7.1e-06
  48400      5.52e-01    2.61e-01      3.26e-03    2.69e-03      1.96e-01    9.23e-02    7.0e-06
  48600      5.54e-01    3.40e-01      1.89e-03    2.26e-03      1.98e-01    1.21e-01    6.8e-06
  48800      6.56e-01    2.16e-01      3.88e-03    4.22e-03      2.37e-01    7.77e-02    6.7e-06
  49000      3.51e-01    3.80e-01      3.79e-04    1.26e-03      1.28e-01    1.38e-01    6.6e-06
  49200      5.84e-01    2.56e-01      3.53e-03    2.15e-03      2.14e-01    9.38e-02    6.4e-06
  49400      1.94e-01    4.27e-01      2.39e-03    1.91e-03      7.16e-02    1.58e-01    6.3e-06
  49600      2.82e-01    4.24e-01      1.55e-03    7.49e-04      1.05e-01    1.58e-01    6.2e-06
  49800      2.81e-01    3.24e-01      1.89e-03    1.21e-03      1.06e-01    1.22e-01    6.0e-06
  50000      1.59e-01    2.63e-01      6.71e-04    1.64e-03      6.03e-02    1.00e-01    5.9e-06
  50200      4.96e-01    5.14e-01      1.66e-03    4.28e-03      1.90e-01    1.97e-01    5.8e-06
  50400      3.60e-01    3.59e-01      2.36e-04    1.24e-03      1.39e-01    1.39e-01    5.7e-06
  50600      1.34e-01    2.45e-01      4.97e-03    4.15e-03      5.19e-02    9.55e-02    5.6e-06
  50800      6.04e-01    2.55e-01      5.65e-04    9.99e-04      2.38e-01    1.00e-01    5.5e-06
  51000      2.28e-01    3.69e-01      2.10e-03    3.52e-03      9.06e-02    1.47e-01    5.3e-06
  51200      4.48e-01    2.63e-01      1.85e-03    2.32e-03      1.80e-01    1.05e-01    5.2e-06
  51400      2.27e-01    2.84e-01      3.82e-04    1.51e-03      9.19e-02    1.15e-01    5.1e-06
  51600      1.55e-01    2.54e-01      1.13e-03    8.79e-04      6.32e-02    1.03e-01    5.0e-06
  51800      3.02e-01    2.97e-01      1.58e-03    1.03e-03      1.24e-01    1.22e-01    4.9e-06
  52000      3.79e-01    1.07e-01      1.32e-03    7.99e-04      1.57e-01    4.44e-02    4.8e-06
  52200      2.75e-01    1.99e-01      2.43e-03    1.05e-03      1.15e-01    8.33e-02    4.7e-06
