#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      6.31e+01    4.97e+01      1.51e-01    1.90e-01      1.99e+00    1.57e+00    1.0e-03
    200      4.07e+01    4.29e+01      1.50e+00    1.50e+00      1.30e+00    1.37e+00    9.8e-04
    400      1.77e+01    1.18e+01      6.44e+00    6.43e+00      5.34e-01    3.24e-01    9.6e-04
    600      1.19e+01    9.23e+00      2.96e-02    1.64e-02      3.87e-01    3.01e-01    9.4e-04
    800      1.05e+01    7.84e+00      4.47e-02    4.47e-02      3.46e-01    2.58e-01    9.2e-04
   1000      7.75e+00    5.49e+00      8.92e-02    8.57e-02      2.58e-01    1.83e-01    9.0e-04
   1200      4.96e+00    4.40e+00      7.49e-02    7.71e-02      1.67e-01    1.48e-01    8.8e-04
   1400      8.07e+00    6.91e+00      3.26e-01    3.29e-01      2.74e-01    2.34e-01    8.7e-04
   1600      8.24e+00    8.09e+00      4.96e-01    4.97e-01      2.82e-01    2.76e-01    8.5e-04
   1800      3.57e+00    9.88e+00      1.11e-01    1.05e-01      1.24e-01    3.42e-01    8.3e-04
   2000      6.58e+00    6.85e+00      6.62e-02    7.48e-02      2.30e-01    2.40e-01    8.1e-04
   2200      7.31e+00    3.71e+00      9.30e-02    9.26e-02      2.59e-01    1.31e-01    8.0e-04
   2400      8.56e+00    6.22e+00      1.47e-01    1.42e-01      3.06e-01    2.22e-01    7.8e-04
   2600      6.91e+00    5.75e+00      6.27e-02    5.82e-02      2.50e-01    2.08e-01    7.7e-04
   2800      5.32e+00    6.51e+00      1.76e-01    1.78e-01      1.94e-01    2.37e-01    7.5e-04
   3000      7.19e+00    8.36e+00      3.95e-02    4.41e-02      2.65e-01    3.08e-01    7.4e-04
   3200      5.76e+00    4.19e+00      2.39e-01    2.36e-01      2.14e-01    1.55e-01    7.2e-04
   3400      7.37e+00    6.64e+00      1.75e-01    1.78e-01      2.77e-01    2.50e-01    7.1e-04
   3600      7.49e+00    6.40e+00      8.16e-02    7.78e-02      2.85e-01    2.43e-01    6.9e-04
   3800      2.96e+00    5.72e+00      1.11e-01    1.11e-01      1.13e-01    2.19e-01    6.8e-04
   4000      4.55e+00    5.32e+00      1.95e-01    1.90e-01      1.76e-01    2.06e-01    6.6e-04
   4200      7.92e+00    6.12e+00      8.53e-02    8.86e-02      3.10e-01    2.40e-01    6.5e-04
   4400      9.27e+00    5.72e+00      2.12e-01    2.08e-01      3.67e-01    2.26e-01    6.4e-04
   4600      4.14e+00    3.67e+00      1.72e-02    1.44e-02      1.66e-01    1.47e-01    6.2e-04
   4800      6.85e+00    4.24e+00      6.25e-02    5.69e-02      2.77e-01    1.71e-01    6.1e-04
   5000      6.71e+00    2.77e+00      1.71e-01    1.66e-01      2.74e-01    1.12e-01    6.0e-04
   5200      5.19e+00    4.62e+00      1.10e-01    1.11e-01      2.14e-01    1.90e-01    5.9e-04
   5400      4.31e+00    2.96e+00      1.74e-01    1.71e-01      1.79e-01    1.22e-01    5.7e-04
   5600      2.46e+00    2.94e+00      8.71e-02    8.80e-02      1.03e-01    1.24e-01    5.6e-04
   5800      5.47e+00    5.70e+00      1.51e-01    1.44e-01      2.32e-01    2.42e-01    5.5e-04
   6000      4.05e+00    3.94e+00      3.32e-02    3.59e-02      1.74e-01    1.69e-01    5.4e-04
   6200      4.76e+00    2.87e+00      1.99e-01    2.02e-01      2.05e-01    1.22e-01    5.3e-04
   6400      2.38e+00    3.78e+00      5.05e-02    5.08e-02      1.04e-01    1.66e-01    5.2e-04
   6600      2.75e+00    3.32e+00      5.83e-02    5.85e-02      1.22e-01    1.47e-01    5.1e-04
   6800      2.72e+00    3.70e+00      2.02e-01    2.01e-01      1.19e-01    1.64e-01    5.0e-04
   7000      2.75e+00    3.50e+00      1.72e-01    1.75e-01      1.22e-01    1.57e-01    4.9e-04
   7200      4.71e+00    4.49e+00      3.67e-01    3.60e-01      2.10e-01    2.00e-01    4.8e-04
   7400      4.78e+00    4.62e+00      1.03e-01    1.02e-01      2.20e-01    2.13e-01    4.7e-04
   7600      4.26e+00    3.32e+00      1.22e-01    1.22e-01      1.98e-01    1.54e-01    4.6e-04
   7800      4.51e+00    2.98e+00      4.89e-02    5.01e-02      2.12e-01    1.41e-01    4.5e-04
   8000      3.87e+00    3.81e+00      8.79e-02    8.80e-02      1.84e-01    1.81e-01    4.4e-04
   8200      2.98e+00    3.83e+00      7.62e-02    7.97e-02      1.43e-01    1.84e-01    4.3e-04
   8400      3.60e+00    3.36e+00      7.53e-02    7.53e-02      1.75e-01    1.63e-01    4.2e-04
   8600      2.27e+00    5.96e+00      4.97e-02    5.51e-02      1.11e-01    2.93e-01    4.1e-04
   8800      3.53e+00    2.24e+00      8.80e-03    1.12e-02      1.75e-01    1.11e-01    4.1e-04
   9000      4.46e+00    3.54e+00      7.25e-02    7.56e-02      2.24e-01    1.77e-01    4.0e-04
   9200      3.87e+00    3.71e+00      1.21e-02    1.43e-02      1.96e-01    1.88e-01    3.9e-04
   9400      3.41e+00    2.03e+00      1.47e-02    1.82e-02      1.74e-01    1.04e-01    3.8e-04
   9600      4.64e+00    1.92e+00      9.30e-02    9.09e-02      2.39e-01    9.84e-02    3.7e-04
   9800      4.52e+00    2.10e+00      1.36e-02    1.98e-02      2.36e-01    1.10e-01    3.7e-04
  10000      3.83e+00    2.88e+00      4.68e-02    4.32e-02      2.02e-01    1.52e-01    3.6e-04
  10200      2.39e+00    5.45e+00      1.89e-02    2.31e-02      1.27e-01    2.90e-01    3.5e-04
  10400      4.38e+00    2.44e+00      7.10e-02    7.08e-02      2.36e-01    1.31e-01    3.4e-04
  10600      4.13e+00    2.75e+00      3.83e-02    3.66e-02      2.25e-01    1.50e-01    3.4e-04
  10800      1.34e+00    1.85e+00      1.90e-01    1.88e-01      6.53e-02    9.58e-02    3.3e-04
  11000      3.08e+00    3.80e+00      2.87e-02    2.93e-02      1.71e-01    2.11e-01    3.2e-04
  11200      3.38e+00    2.32e+00      2.16e-02    2.45e-02      1.90e-01    1.30e-01    3.2e-04
  11400      2.06e+00    2.18e+00      7.95e-02    7.72e-02      1.16e-01    1.23e-01    3.1e-04
  11600      2.96e+00    3.14e+00      9.00e-02    9.04e-02      1.69e-01    1.79e-01    3.0e-04
  11800      3.25e+00    1.35e+00      1.55e-01    1.55e-01      1.86e-01    7.19e-02    3.0e-04
  12000      1.95e+00    2.99e+00      1.39e-01    1.38e-01      1.10e-01    1.73e-01    2.9e-04
  12200      2.64e+00    1.36e+00      7.59e-02    8.14e-02      1.55e-01    7.89e-02    2.9e-04
  12400      3.86e+00    3.35e+00      3.63e-02    4.38e-02      2.30e-01    2.00e-01    2.8e-04
  12600      2.59e+00    1.91e+00      1.79e-01    1.80e-01      1.51e-01    1.09e-01    2.7e-04
  12800      2.60e+00    3.72e+00      1.18e-01    1.13e-01      1.57e-01    2.25e-01    2.7e-04
  13000      2.08e+00    2.21e+00      9.63e-02    9.69e-02      1.26e-01    1.34e-01    2.6e-04
  13200      2.77e+00    2.36e+00      8.30e-02    8.25e-02      1.71e-01    1.46e-01    2.6e-04
  13400      3.04e+00    3.94e+00      9.56e-02    9.61e-02      1.90e-01    2.47e-01    2.5e-04
  13600      2.01e+00    3.02e+00      8.28e-02    7.76e-02      1.26e-01    1.91e-01    2.5e-04
  13800      1.72e+00    2.68e+00      1.52e-01    1.55e-01      1.05e-01    1.68e-01    2.4e-04
  14000      2.82e+00    3.29e+00      1.12e-01    1.11e-01      1.81e-01    2.12e-01    2.4e-04
  14200      1.52e+00    1.93e+00      1.71e-01    1.70e-01      9.16e-02    1.20e-01    2.3e-04
