#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.92e+01    2.39e+01      1.35e-01    1.36e-01      9.23e-01    7.56e-01    1.0e-03
    200      4.66e+00    5.65e+00      1.95e+00    1.95e+00      1.48e-01    1.86e-01    8.1e-04
    400      2.54e+00    4.05e+00      5.68e-01    5.71e-01      9.41e-02    1.54e-01    6.6e-04
    600      1.99e+00    2.50e+00      7.72e-02    7.84e-02      8.53e-02    1.07e-01    5.4e-04
    800      1.90e+00    2.20e+00      5.72e-02    5.77e-02      9.03e-02    1.05e-01    4.4e-04
   1000      1.26e+00    1.36e+00      9.27e-03    9.64e-03      6.65e-02    7.18e-02    3.6e-04
   1200      1.16e+00    1.03e+00      1.44e-02    1.43e-02      6.77e-02    6.03e-02    2.9e-04
   1400      9.45e-01    8.55e-01      1.61e-02    1.57e-02      6.11e-02    5.53e-02    2.4e-04
   1600      6.31e-01    5.92e-01      5.45e-04    7.29e-04      4.52e-02    4.24e-02    1.9e-04
   1800      5.37e-01    7.70e-01      7.93e-03    7.75e-03      4.26e-02    6.11e-02    1.6e-04
   2000      5.57e-01    5.34e-01      9.52e-03    9.06e-03      4.89e-02    4.69e-02    1.3e-04
   2200      5.32e-01    4.83e-01      1.26e-03    1.26e-03      5.18e-02    4.70e-02    1.0e-04
   2400      3.71e-01    4.31e-01      2.03e-03    2.58e-03      4.00e-02    4.64e-02    8.5e-05
   2600      3.48e-01    3.34e-01      4.61e-03    4.93e-03      4.15e-02    3.97e-02    6.9e-05
   2800      3.79e-01    4.91e-01      3.15e-03    2.40e-03      5.00e-02    6.47e-02    5.7e-05
   3000      3.44e-01    3.65e-01      2.23e-03    2.39e-03      5.02e-02    5.32e-02    4.6e-05
   3200      2.60e-01    3.32e-01      8.47e-04    1.56e-03      4.19e-02    5.35e-02    3.8e-05
   3400      2.73e-01    3.27e-01      7.94e-04    8.18e-04      4.86e-02    5.83e-02    3.1e-05
   3600      1.78e-01    2.89e-01      9.39e-04    9.39e-04      3.50e-02    5.68e-02    2.5e-05
   3800      1.70e-01    2.37e-01      1.20e-03    7.09e-04      3.69e-02    5.15e-02    2.0e-05
   4000      1.93e-01    1.74e-01      1.02e-03    8.29e-04      4.61e-02    4.16e-02    1.7e-05
   4200      1.96e-01    1.43e-01      9.23e-04    7.43e-04      5.16e-02    3.76e-02    1.3e-05
   4400      1.41e-01    1.37e-01      1.54e-03    1.38e-03      4.09e-02    3.96e-02    1.1e-05
   4600      1.09e-01    1.10e-01      5.02e-04    7.73e-04      3.46e-02    3.48e-02    8.9e-06
   4800      1.29e-01    1.52e-01      6.88e-04    7.70e-04      4.47e-02    5.28e-02    7.3e-06
   5000      1.10e-01    1.32e-01      7.30e-04    9.76e-04      4.19e-02    5.02e-02    5.9e-06
   5200      1.05e-01    1.03e-01      1.13e-03    9.64e-04      4.36e-02    4.28e-02    4.8e-06
   5400      7.11e-02    1.15e-01      5.70e-04    9.62e-04      3.20e-02    5.19e-02    3.9e-06
   5600      9.69e-02    1.15e-01      9.80e-04    8.31e-04      4.73e-02    5.61e-02    3.2e-06
   5800      7.59e-02    9.51e-02      7.32e-04    8.80e-04      4.00e-02    5.01e-02    2.6e-06
   6000      8.39e-02    7.28e-02      6.33e-04    5.84e-04      4.75e-02    4.12e-02    2.1e-06
   6200      7.90e-02    7.58e-02      1.06e-03    7.70e-04      4.78e-02    4.59e-02    1.7e-06
   6400      6.43e-02    7.43e-02      7.18e-04    3.12e-04      4.14e-02    4.79e-02    1.4e-06
   6600      6.02e-02    7.40e-02      8.42e-04    9.98e-04      4.11e-02    5.05e-02    1.1e-06
   6800      6.00e-02    6.86e-02      7.95e-04    1.27e-03      4.31e-02    4.93e-02    9.3e-07
   7000      5.02e-02    6.51e-02      8.44e-04    8.31e-04      3.78e-02    4.90e-02    7.6e-07
   7200      5.37e-02    6.67e-02      6.43e-04    1.01e-03      4.22e-02    5.24e-02    6.2e-07
   7400      5.16e-02    5.17e-02      9.98e-04    6.35e-04      4.20e-02    4.21e-02    5.1e-07
   7600      5.55e-02    4.68e-02      1.02e-03    6.00e-04      4.67e-02    3.94e-02    4.1e-07
   7800      5.35e-02    4.20e-02      8.10e-04    4.82e-04      4.63e-02    3.64e-02    3.4e-07
   8000      4.90e-02    6.20e-02      7.18e-04    1.13e-03      4.34e-02    5.49e-02    2.7e-07
   8200      4.55e-02    5.43e-02      7.66e-04    9.97e-04      4.11e-02    4.91e-02    2.2e-07
   8400      4.00e-02    4.80e-02      8.48e-04    9.67e-04      3.68e-02    4.41e-02    1.8e-07
   8600      4.70e-02    6.82e-02      9.86e-04    1.01e-03      4.39e-02    6.37e-02    1.5e-07
   8800      4.88e-02    4.17e-02      9.45e-04    6.83e-04      4.61e-02    3.93e-02    1.2e-07
   9000      4.52e-02    4.25e-02      6.26e-04    8.56e-04      4.31e-02    4.05e-02    9.8e-08
   9200      4.29e-02    5.03e-02      7.47e-04    7.99e-04      4.13e-02    4.83e-02    8.0e-08
   9400      4.93e-02    4.25e-02      9.78e-04    6.60e-04      4.77e-02    4.11e-02    6.5e-08
   9600      3.28e-02    6.05e-02      5.52e-04    1.14e-03      3.19e-02    5.89e-02    5.3e-08
   9800      5.55e-02    4.36e-02      1.09e-03    8.86e-04      5.43e-02    4.26e-02    4.3e-08
  10000      5.15e-02    4.30e-02      1.02e-03    7.62e-04      5.06e-02    4.23e-02    3.5e-08
