#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5800      1.98e+00    2.15e+00      4.73e-02    4.73e-02      8.40e-02    9.12e-02    5.5e-04
   6000      2.42e+00    2.00e+00      5.57e-02    5.50e-02      1.04e-01    8.56e-02    5.4e-04
   6200      2.57e+00    2.12e+00      1.76e-02    1.85e-02      1.12e-01    9.22e-02    5.3e-04
   6400      2.18e+00    2.43e+00      8.72e-02    8.69e-02      9.44e-02    1.06e-01    5.2e-04
   6600      2.20e+00    3.76e+00      2.20e-02    1.83e-02      9.76e-02    1.67e-01    5.1e-04
   6800      2.25e+00    3.80e+00      2.96e-02    3.39e-02      1.01e-01    1.70e-01    5.0e-04
   7000      2.68e+00    1.35e+00      3.64e-02    3.54e-02      1.21e-01    6.07e-02    4.9e-04
   7200      3.45e+00    2.96e+00      7.62e-04    7.97e-03      1.58e-01    1.35e-01    4.8e-04
   7400      2.24e+00    2.44e+00      8.31e-02    8.67e-02      1.02e-01    1.12e-01    4.7e-04
   7600      4.15e+00    3.35e+00      9.12e-02    8.38e-02      1.93e-01    1.55e-01    4.6e-04
   7800      2.03e+00    2.15e+00      4.44e-02    4.53e-02      9.55e-02    1.01e-01    4.5e-04
   8000      2.06e+00    2.34e+00      7.59e-02    7.70e-02      9.70e-02    1.10e-01    4.4e-04
   8200      2.43e+00    2.84e+00      3.44e-02    3.59e-02      1.16e-01    1.36e-01    4.3e-04
   8400      2.80e+00    2.41e+00      7.51e-03    3.52e-03      1.36e-01    1.17e-01    4.2e-04
   8600      2.53e+00    1.64e+00      2.28e-02    2.59e-02      1.24e-01    8.04e-02    4.1e-04
   8800      2.05e+00    2.37e+00      3.81e-02    3.42e-02      1.02e-01    1.18e-01    4.1e-04
   9000      2.51e+00    1.94e+00      3.22e-02    3.05e-02      1.26e-01    9.68e-02    4.0e-04
   9200      1.67e+00    2.30e+00      2.52e-02    2.10e-02      8.45e-02    1.17e-01    3.9e-04
   9400      2.52e+00    1.78e+00      1.12e-02    6.13e-03      1.29e-01    9.12e-02    3.8e-04
   9600      2.38e+00    2.05e+00      3.18e-02    2.99e-02      1.23e-01    1.06e-01    3.7e-04
   9800      1.48e+00    1.55e+00      3.90e-02    3.87e-02      7.69e-02    8.04e-02    3.7e-04
  10000      2.25e+00    1.79e+00      2.97e-02    2.89e-02      1.18e-01    9.41e-02    3.6e-04
  10200      1.84e+00    1.56e+00      9.13e-03    8.86e-03      9.82e-02    8.33e-02    3.5e-04
  10400      1.96e+00    1.43e+00      6.47e-02    6.30e-02      1.04e-01    7.51e-02    3.4e-04
  10600      1.36e+00    1.67e+00      1.89e-02    1.91e-02      7.39e-02    9.07e-02    3.4e-04
  10800      1.55e+00    1.60e+00      8.03e-03    6.09e-03      8.50e-02    8.77e-02    3.3e-04
  11000      2.81e+00    2.05e+00      2.22e-02    2.31e-02      1.56e-01    1.14e-01    3.2e-04
  11200      1.58e+00    1.99e+00      2.12e-02    2.12e-02      8.84e-02    1.11e-01    3.2e-04
  11400      2.19e+00    1.60e+00      1.26e-02    1.21e-02      1.24e-01    9.09e-02    3.1e-04
  11600      2.02e+00    1.71e+00      5.52e-02    5.47e-02      1.14e-01    9.69e-02    3.0e-04
  11800      1.31e+00    1.67e+00      9.37e-04    2.16e-05      7.57e-02    9.69e-02    3.0e-04
  12000      1.61e+00    1.69e+00      2.51e-02    2.73e-02      9.39e-02    9.85e-02    2.9e-04
  12200      1.31e+00    2.82e+00      2.05e-02    2.08e-02      7.73e-02    1.67e-01    2.9e-04
  12400      1.43e+00    1.74e+00      2.66e-02    2.43e-02      8.48e-02    1.04e-01    2.8e-04
  12600      1.78e+00    1.88e+00      2.02e-02    1.74e-02      1.07e-01    1.13e-01    2.7e-04
  12800      1.87e+00    1.55e+00      2.38e-02    2.37e-02      1.14e-01    9.40e-02    2.7e-04
  13000      1.38e+00    1.20e+00      3.35e-02    3.37e-02      8.43e-02    7.31e-02    2.6e-04
  13200      1.86e+00    2.28e+00      1.76e-02    1.51e-02      1.15e-01    1.42e-01    2.6e-04
  13400      1.67e+00    1.55e+00      3.24e-02    2.97e-02      1.04e-01    9.66e-02    2.5e-04
  13600      2.47e+00    2.36e+00      2.45e-02    2.30e-02      1.57e-01    1.50e-01    2.5e-04
  13800      1.40e+00    2.17e+00      1.03e-02    1.05e-02      8.99e-02    1.39e-01    2.4e-04
  14000      1.44e+00    2.21e+00      2.09e-02    1.79e-02      9.28e-02    1.43e-01    2.4e-04
  14200      1.49e+00    1.49e+00      1.81e-02    1.95e-02      9.73e-02    9.73e-02    2.3e-04
  14400      1.40e+00    1.53e+00      3.86e-02    4.11e-02      9.17e-02    1.00e-01    2.3e-04
  14600      1.43e+00    1.40e+00      1.46e-02    1.40e-02      9.53e-02    9.30e-02    2.2e-04
  14800      1.19e+00    1.23e+00      4.08e-02    3.85e-02      7.89e-02    8.22e-02    2.2e-04
  15000      1.39e+00    1.28e+00      1.22e-02    1.18e-02      9.48e-02    8.70e-02    2.1e-04
  15200      1.02e+00    1.21e+00      8.29e-03    6.62e-03      6.99e-02    8.34e-02    2.1e-04
  15400      1.25e+00    1.18e+00      1.79e-03    2.34e-03      8.67e-02    8.18e-02    2.1e-04
  15600      1.08e+00    1.34e+00      7.05e-03    8.21e-03      7.55e-02    9.44e-02    2.0e-04
  15800      1.34e+00    1.02e+00      9.17e-04    2.19e-03      9.52e-02    7.24e-02    2.0e-04
  16000      1.23e+00    1.09e+00      1.59e-02    1.53e-02      8.80e-02    7.83e-02    1.9e-04
  16200      1.34e+00    1.26e+00      2.46e-03    1.56e-03      9.71e-02    9.12e-02    1.9e-04
  16400      9.99e-01    1.02e+00      3.23e-04    7.91e-04      7.31e-02    7.47e-02    1.9e-04
  16600      9.71e-01    1.24e+00      1.55e-02    1.62e-02      7.15e-02    9.14e-02    1.8e-04
  16800      1.18e+00    8.51e-01      8.34e-03    9.28e-03      8.79e-02    6.34e-02    1.8e-04
  17000      1.15e+00    1.23e+00      2.53e-02    2.50e-02      8.64e-02    9.21e-02    1.7e-04
  17200      1.53e+00    1.42e+00      4.48e-03    4.47e-03      1.16e-01    1.08e-01    1.7e-04
  17400      1.48e+00    1.07e+00      7.92e-04    1.88e-03      1.14e-01    8.21e-02    1.7e-04
  17600      9.68e-01    9.82e-01      1.52e-02    1.42e-02      7.51e-02    7.62e-02    1.6e-04
  17800      7.73e-01    1.24e+00      2.43e-02    2.44e-02      5.99e-02    9.71e-02    1.6e-04
  18000      1.01e+00    7.48e-01      6.07e-03    4.73e-03      8.04e-02    5.93e-02    1.6e-04
  18200      9.17e-01    1.16e+00      2.78e-03    2.81e-03      7.35e-02    9.30e-02    1.5e-04
  18400      9.91e-01    7.94e-01      1.45e-02    1.48e-02      8.01e-02    6.40e-02    1.5e-04
  18600      8.24e-01    1.00e+00      2.01e-02    1.93e-02      6.69e-02    8.15e-02    1.5e-04
  18800      1.04e+00    7.30e-01      3.23e-02    3.37e-02      8.47e-02    5.85e-02    1.5e-04
  19000      1.00e+00    9.67e-01      3.85e-03    3.06e-03      8.36e-02    8.08e-02    1.4e-04
  19200      8.14e-01    7.64e-01      4.31e-03    4.58e-03      6.86e-02    6.44e-02    1.4e-04
  19400      1.02e+00    8.40e-01      9.53e-03    7.56e-03      8.67e-02    7.15e-02    1.4e-04
  19600      9.63e-01    9.79e-01      1.04e-02    1.11e-02      8.28e-02    8.42e-02    1.3e-04
  19800      8.25e-01    7.67e-01      6.33e-04    1.96e-03      7.18e-02    6.67e-02    1.3e-04
  20000      9.54e-01    1.07e+00      8.40e-03    5.39e-03      8.38e-02    9.37e-02    1.3e-04
  20200      1.14e+00    7.33e-01      7.63e-03    6.59e-03      1.01e-01    6.50e-02    1.3e-04
  20400      6.95e-01    1.02e+00      1.87e-02    2.02e-02      6.17e-02    9.12e-02    1.2e-04
  20600      1.09e+00    8.50e-01      1.76e-02    1.51e-02      9.85e-02    7.67e-02    1.2e-04
  20800      1.01e+00    8.74e-01      5.13e-03    7.66e-03      9.26e-02    7.99e-02    1.2e-04
  21000      7.15e-01    8.15e-01      2.57e-03    1.89e-03      6.61e-02    7.54e-02    1.2e-04
  21200      8.74e-01    7.80e-01      5.01e-03    4.80e-03      8.16e-02    7.29e-02    1.1e-04
  21400      1.49e+00    1.08e+00      3.72e-03    3.04e-03      1.41e-01    1.02e-01    1.1e-04
  21600      8.55e-01    8.53e-01      1.54e-02    1.47e-02      8.12e-02    8.10e-02    1.1e-04
  21800      6.13e-01    7.79e-01      7.32e-03    4.56e-03      5.89e-02    7.50e-02    1.1e-04
  22000      8.63e-01    8.61e-01      9.12e-03    6.87e-03      8.39e-02    8.37e-02    1.0e-04
  22200      6.90e-01    8.06e-01      2.03e-03    1.71e-03      6.78e-02    7.92e-02    1.0e-04
  22400      8.53e-01    8.31e-01      4.14e-03    5.71e-03      8.47e-02    8.25e-02    1.0e-04
  22600      1.22e+00    5.95e-01      7.24e-03    8.30e-03      1.23e-01    5.95e-02    9.8e-05
  22800      6.31e-01    9.41e-01      4.20e-03    1.37e-03      6.39e-02    9.53e-02    9.6e-05
  23000      6.87e-01    1.20e+00      1.26e-02    1.01e-02      7.00e-02    1.22e-01    9.4e-05
  23200      1.06e+00    8.58e-01      2.90e-04    6.23e-04      1.10e-01    8.87e-02    9.3e-05
  23400      7.50e-01    1.31e+00      1.52e-02    1.18e-02      7.78e-02    1.37e-01    9.1e-05
  23600      6.83e-01    8.09e-01      9.97e-04    1.70e-03      7.21e-02    8.54e-02    8.9e-05
  23800      6.04e-01    8.43e-01      1.80e-03    2.63e-03      6.44e-02    8.98e-02    8.7e-05
  24000      5.99e-01    7.93e-01      2.43e-03    1.63e-03      6.45e-02    8.54e-02    8.5e-05
  24200      4.97e-01    6.14e-01      8.71e-03    8.95e-03      5.38e-02    6.66e-02    8.4e-05
  24400      5.65e-01    6.57e-01      6.90e-03    7.02e-03      6.20e-02    7.21e-02    8.2e-05
  24600      7.79e-01    6.87e-01      8.09e-03    5.83e-03      8.64e-02    7.62e-02    8.0e-05
  24800      7.81e-01    5.99e-01      4.79e-04    3.16e-03      8.76e-02    6.72e-02    7.9e-05
  25000      7.13e-01    6.93e-01      6.00e-03    7.33e-03      8.07e-02    7.83e-02    7.7e-05
  25200      5.51e-01    6.88e-01      4.61e-03    4.97e-03      6.30e-02    7.87e-02    7.5e-05
  25400      6.71e-01    7.22e-01      9.58e-03    9.57e-03      7.74e-02    8.33e-02    7.4e-05
  25600      6.00e-01    6.25e-01      6.60e-03    5.75e-03      7.00e-02    7.29e-02    7.2e-05
  25800      7.85e-01    4.60e-01      2.94e-03    1.55e-03      9.25e-02    5.42e-02    7.1e-05
  26000      6.02e-01    1.05e+00      7.32e-04    1.67e-04      7.18e-02    1.25e-01    6.9e-05
  26200      6.73e-01    8.12e-01      1.05e-03    1.80e-03      8.10e-02    9.78e-02    6.8e-05
  26400      6.80e-01    4.84e-01      2.99e-03    2.91e-03      8.27e-02    5.88e-02    6.7e-05
  26600      5.61e-01    5.36e-01      4.72e-03    4.46e-03      6.89e-02    6.58e-02    6.5e-05
  26800      6.32e-01    6.19e-01      1.76e-03    6.48e-04      7.84e-02    7.69e-02    6.4e-05
  27000      6.14e-01    6.38e-01      5.84e-03    5.60e-03      7.69e-02    7.99e-02    6.3e-05
  27200      6.59e-01    6.23e-01      3.21e-03    1.80e-03      8.35e-02    7.89e-02    6.1e-05
  27400      8.55e-01    7.22e-01      4.63e-03    1.00e-02      1.09e-01    9.21e-02    6.0e-05
  27600      6.67e-01    9.13e-01      7.73e-04    3.36e-03      8.61e-02    1.18e-01    5.9e-05
  27800      5.57e-01    4.64e-01      5.29e-04    7.70e-04      7.26e-02    6.06e-02    5.8e-05
  28000      6.28e-01    4.60e-01      8.03e-03    6.61e-03      8.25e-02    6.05e-02    5.7e-05
  28200      1.01e+00    5.75e-01      4.27e-04    3.24e-03      1.34e-01    7.65e-02    5.5e-05
  28400      5.63e-01    6.73e-01      1.04e-02    6.55e-03      7.54e-02    9.04e-02    5.4e-05
  28600      5.00e-01    6.81e-01      4.43e-03    3.90e-03      6.79e-02    9.24e-02    5.3e-05
  28800      4.33e-01    5.35e-01      8.13e-04    5.68e-04      5.94e-02    7.34e-02    5.2e-05
  29000      6.61e-01    5.98e-01      8.96e-03    7.98e-03      9.14e-02    8.27e-02    5.1e-05
  29200      4.90e-01    4.92e-01      2.43e-03    3.37e-03      6.86e-02    6.89e-02    5.0e-05
  29400      5.95e-01    7.49e-01      4.79e-03    4.48e-03      8.41e-02    1.06e-01    4.9e-05
  29600      3.86e-01    7.12e-01      2.09e-03    7.80e-04      5.51e-02    1.02e-01    4.8e-05
  29800      4.93e-01    4.77e-01      7.61e-03    6.04e-03      7.09e-02    6.86e-02    4.7e-05
  30000      4.36e-01    7.74e-01      4.54e-05    1.25e-03      6.36e-02    1.13e-01    4.6e-05
  30200      5.81e-01    5.15e-01      5.97e-03    5.63e-03      8.55e-02    7.57e-02    4.5e-05
  30400      4.85e-01    4.07e-01      7.22e-03    6.65e-03      7.20e-02    6.03e-02    4.4e-05
  30600      8.29e-01    4.30e-01      7.98e-03    5.92e-03      1.24e-01    6.44e-02    4.3e-05
  30800      4.11e-01    3.63e-01      5.05e-04    2.67e-05      6.23e-02    5.51e-02    4.2e-05
  31000      4.30e-01    4.84e-01      1.84e-03    2.47e-03      6.59e-02    7.41e-02    4.2e-05
  31200      4.90e-01    8.09e-01      6.08e-03    2.59e-03      7.58e-02    1.25e-01    4.1e-05
  31400      4.82e-01    3.67e-01      6.12e-03    4.43e-03      7.52e-02    5.73e-02    4.0e-05
  31600      3.67e-01    6.58e-01      3.10e-03    5.54e-03      5.79e-02    1.04e-01    3.9e-05
  31800      4.11e-01    4.14e-01      5.57e-04    1.32e-03      6.56e-02    6.61e-02    3.8e-05
  32000      3.70e-01    4.62e-01      8.21e-03    7.54e-03      5.91e-02    7.41e-02    3.8e-05
  32200      9.57e-01    2.23e-01      1.62e-04    2.90e-03      1.56e-01    3.62e-02    3.7e-05
  32400      5.05e-01    4.10e-01      2.82e-03    1.44e-03      8.30e-02    6.74e-02    3.6e-05
  32600      4.51e-01    6.01e-01      9.49e-04    1.29e-03      7.49e-02    9.98e-02    3.5e-05
  32800      5.63e-01    4.56e-01      4.67e-03    3.26e-03      9.43e-02    7.64e-02    3.5e-05
  33000      3.70e-01    5.00e-01      5.18e-03    4.17e-03      6.25e-02    8.46e-02    3.4e-05
  33200      3.82e-01    4.40e-01      9.84e-04    1.20e-03      6.53e-02    7.53e-02    3.3e-05
  33400      3.39e-01    3.71e-01      3.74e-03    1.82e-03      5.84e-02    6.41e-02    3.3e-05
  33600      5.15e-01    3.67e-01      7.39e-05    7.39e-04      8.99e-02    6.41e-02    3.2e-05
  33800      3.54e-01    3.53e-01      6.76e-03    7.73e-03      6.20e-02    6.17e-02    3.1e-05
  34000      4.19e-01    3.33e-01      2.20e-04    1.37e-03      7.47e-02    5.92e-02    3.1e-05
  34200      4.46e-01    3.29e-01      3.01e-03    3.33e-03      8.02e-02    5.91e-02    3.0e-05
  34400      4.55e-01    6.04e-01      2.07e-03    1.04e-03      8.26e-02    1.10e-01    2.9e-05
  34600      3.30e-01    4.03e-01      1.22e-03    1.43e-03      6.05e-02    7.39e-02    2.9e-05
  34800      4.11e-01    4.35e-01      5.97e-03    3.65e-03      7.59e-02    8.05e-02    2.8e-05
  35000      3.32e-01    3.70e-01      3.41e-03    2.97e-03      6.20e-02    6.91e-02    2.8e-05
  35200      4.28e-01    4.52e-01      3.68e-05    4.28e-04      8.08e-02    8.53e-02    2.7e-05
  35400      3.20e-01    4.03e-01      3.67e-03    4.68e-03      6.09e-02    7.68e-02    2.6e-05
  35600      3.58e-01    4.98e-01      3.42e-03    3.25e-03      6.89e-02    9.59e-02    2.6e-05
  35800      3.04e-01    3.07e-01      1.11e-03    5.16e-04      5.92e-02    5.98e-02    2.5e-05
  36000      4.36e-01    5.33e-01      2.04e-03    7.02e-04      8.56e-02    1.05e-01    2.5e-05
  36200      4.22e-01    6.50e-01      1.17e-03    4.13e-03      8.37e-02    1.29e-01    2.4e-05
  36400      4.29e-01    4.32e-01      6.24e-03    4.75e-03      8.58e-02    8.65e-02    2.4e-05
  36600      3.44e-01    4.90e-01      1.38e-03    3.64e-04      6.97e-02    9.92e-02    2.3e-05
  36800      5.09e-01    3.30e-01      1.99e-03    1.33e-03      1.04e-01    6.74e-02    2.3e-05
  37000      3.49e-01    3.47e-01      1.48e-03    2.19e-03      7.21e-02    7.17e-02    2.2e-05
  37200      4.43e-01    4.45e-01      4.32e-03    3.93e-03      9.22e-02    9.26e-02    2.2e-05
  37400      2.94e-01    2.62e-01      1.94e-03    1.81e-03      6.20e-02    5.52e-02    2.2e-05
  37600      3.24e-01    3.16e-01      3.07e-03    3.03e-03      6.88e-02    6.70e-02    2.1e-05
  37800      3.32e-01    4.24e-01      8.34e-04    4.85e-04      7.13e-02    9.11e-02    2.1e-05
  38000      3.35e-01    2.67e-01      1.30e-05    3.37e-05      7.27e-02    5.79e-02    2.0e-05
  38200      3.36e-01    4.26e-01      7.05e-03    3.67e-03      7.30e-02    9.31e-02    2.0e-05
  38400      3.11e-01    2.93e-01      4.20e-03    5.21e-03      6.86e-02    6.44e-02    1.9e-05
  38600      3.36e-01    5.27e-01      2.75e-03    9.17e-04      7.51e-02    1.18e-01    1.9e-05
  38800      2.64e-01    2.58e-01      1.79e-04    1.10e-03      5.95e-02    5.82e-02    1.9e-05
  39000      3.93e-01    4.33e-01      3.95e-04    1.77e-03      8.95e-02    9.85e-02    1.8e-05
  39200      3.37e-01    4.55e-01      1.21e-02    1.35e-02      7.59e-02    1.03e-01    1.8e-05
  39400      2.97e-01    2.21e-01      1.13e-03    3.15e-05      6.89e-02    5.13e-02    1.8e-05
  39600      2.70e-01    2.59e-01      5.03e-03    3.62e-03      6.29e-02    6.05e-02    1.7e-05
  39800      2.76e-01    3.76e-01      1.78e-04    2.81e-03      6.52e-02    8.89e-02    1.7e-05
  40000      2.88e-01    3.11e-01      1.98e-03    2.23e-03      6.88e-02    7.42e-02    1.7e-05
  40200      2.79e-01    3.53e-01      2.47e-03    1.19e-03      6.71e-02    8.52e-02    1.6e-05
  40400      2.73e-01    3.48e-01      2.21e-03    2.27e-04      6.63e-02    8.47e-02    1.6e-05
  40600      3.37e-01    2.39e-01      7.72e-03    5.45e-03      8.23e-02    5.84e-02    1.6e-05
  40800      2.91e-01    2.96e-01      6.26e-03    4.52e-03      7.18e-02    7.33e-02    1.5e-05
  41000      2.35e-01    2.63e-01      2.31e-03    9.75e-04      5.87e-02    6.60e-02    1.5e-05
  41200      3.27e-01    2.80e-01      1.56e-06    1.51e-03      8.28e-02    7.09e-02    1.5e-05
  41400      3.10e-01    2.16e-01      2.08e-03    2.40e-03      7.93e-02    5.50e-02    1.4e-05
  41600      5.56e-01    4.08e-01      2.94e-03    3.00e-03      1.43e-01    1.05e-01    1.4e-05
  41800      2.23e-01    3.22e-01      6.76e-03    6.36e-03      5.74e-02    8.33e-02    1.4e-05
  42000      2.72e-01    3.61e-01      3.55e-03    1.80e-03      7.15e-02    9.49e-02    1.3e-05
  42200      2.76e-01    2.76e-01      2.82e-03    2.21e-03      7.33e-02    7.34e-02    1.3e-05
  42400      2.54e-01    2.47e-01      1.17e-03    6.66e-04      6.81e-02    6.63e-02    1.3e-05
  42600      2.38e-01    2.36e-01      4.37e-03    3.86e-03      6.42e-02    6.36e-02    1.3e-05
  42800      2.57e-01    2.08e-01      5.05e-03    5.38e-03      6.98e-02    5.64e-02    1.2e-05
  43000      3.22e-01    2.12e-01      5.18e-03    2.07e-03      8.84e-02    5.84e-02    1.2e-05
  43200      2.74e-01    2.51e-01      2.47e-03    1.64e-03      7.63e-02    6.98e-02    1.2e-05
  43400      2.83e-01    2.06e-01      6.54e-04    4.09e-04      7.96e-02    5.81e-02    1.2e-05
  43600      2.13e-01    3.09e-01      4.05e-03    7.13e-04      6.01e-02    8.76e-02    1.1e-05
  43800      2.60e-01    2.46e-01      7.25e-04    1.18e-03      7.46e-02    7.04e-02    1.1e-05
  44000      2.12e-01    2.48e-01      1.23e-05    1.89e-04      6.13e-02    7.18e-02    1.1e-05
  44200      2.41e-01    2.35e-01      4.99e-03    3.08e-03      6.98e-02    6.83e-02    1.1e-05
  44400      1.99e-01    2.97e-01      1.39e-03    1.52e-04      5.85e-02    8.75e-02    1.1e-05
  44600      2.22e-01    2.22e-01      3.57e-04    6.52e-04      6.61e-02    6.60e-02    1.0e-05
  44800      2.11e-01    1.91e-01      3.76e-03    4.62e-03      6.32e-02    5.67e-02    1.0e-05
  45000      2.55e-01    3.33e-01      2.43e-03    2.06e-03      7.70e-02    1.01e-01    9.9e-06
  45200      2.12e-01    2.97e-01      2.35e-03    9.75e-04      6.48e-02    9.08e-02    9.7e-06
  45400      2.72e-01    2.36e-01      2.79e-03    4.55e-03      8.39e-02    7.24e-02    9.5e-06
  45600      1.91e-01    2.18e-01      1.65e-03    1.90e-03      5.95e-02    6.78e-02    9.3e-06
  45800      1.66e-01    1.70e-01      1.26e-03    2.33e-04      5.21e-02    5.34e-02    9.1e-06
  46000      1.80e-01    1.84e-01      1.98e-03    1.66e-03      5.69e-02    5.83e-02    8.9e-06
  46200      1.84e-01    2.24e-01      1.35e-03    2.06e-03      5.90e-02    7.17e-02    8.7e-06
  46400      1.62e-01    2.17e-01      1.43e-03    8.20e-04      5.22e-02    7.03e-02    8.6e-06
  46600      2.10e-01    2.24e-01      3.32e-03    1.90e-03      6.83e-02    7.29e-02    8.4e-06
  46800      3.65e-01    2.07e-01      2.99e-03    1.99e-03      1.20e-01    6.80e-02    8.2e-06
  47000      2.20e-01    2.05e-01      1.08e-04    1.27e-03      7.33e-02    6.80e-02    8.1e-06
  47200      1.85e-01    2.40e-01      3.78e-03    5.57e-03      6.16e-02    7.98e-02    7.9e-06
  47400      2.03e-01    1.71e-01      3.77e-03    2.81e-03      6.82e-02    5.76e-02    7.7e-06
  47600      2.07e-01    3.28e-01      4.09e-03    1.72e-03      7.03e-02    1.12e-01    7.6e-06
  47800      2.60e-01    2.15e-01      1.88e-03    6.22e-04      8.95e-02    7.41e-02    7.4e-06
  48000      2.03e-01    2.08e-01      1.11e-03    9.36e-04      7.06e-02    7.22e-02    7.3e-06
  48200      2.85e-01    2.04e-01      1.18e-03    1.15e-03      9.99e-02    7.15e-02    7.1e-06
  48400      1.78e-01    2.25e-01      1.20e-03    9.75e-04      6.30e-02    7.97e-02    7.0e-06
  48600      1.80e-01    2.18e-01      3.24e-03    2.00e-04      6.39e-02    7.80e-02    6.8e-06
  48800      1.40e-01    1.79e-01      2.80e-03    2.50e-03      5.03e-02    6.43e-02    6.7e-06
  49000      1.87e-01    1.80e-01      1.54e-03    2.07e-03      6.80e-02    6.53e-02    6.6e-06
  49200      1.51e-01    2.01e-01      1.11e-03    3.19e-03      5.53e-02    7.36e-02    6.4e-06
  49400      1.49e-01    1.65e-01      1.00e-03    9.12e-04      5.50e-02    6.10e-02    6.3e-06
  49600      1.97e-01    2.05e-01      1.41e-03    6.78e-04      7.37e-02    7.65e-02    6.2e-06
  49800      1.58e-01    1.90e-01      1.28e-03    1.61e-03      5.96e-02    7.17e-02    6.0e-06
  50000      1.55e-01    1.86e-01      9.34e-04    6.24e-04      5.90e-02    7.06e-02    5.9e-06
  50200      1.57e-01    1.82e-01      2.49e-03    3.27e-03      5.99e-02    6.93e-02    5.8e-06
  50400      2.23e-01    1.78e-01      4.32e-04    1.52e-04      8.61e-02    6.88e-02    5.7e-06
  50600      2.22e-01    1.50e-01      2.97e-03    1.25e-03      8.66e-02    5.84e-02    5.6e-06
  50800      1.78e-01    1.69e-01      6.06e-04    1.45e-03      7.00e-02    6.66e-02    5.5e-06
  51000      1.80e-01    2.27e-01      1.66e-03    2.75e-04      7.14e-02    9.00e-02    5.3e-06
  51200      1.47e-01    1.46e-01      4.19e-04    4.76e-04      5.89e-02    5.86e-02    5.2e-06
  51400      1.79e-01    1.49e-01      4.21e-03    3.03e-03      7.15e-02    6.00e-02    5.1e-06
  51600      1.48e-01    2.17e-01      1.79e-03    1.30e-03      6.02e-02    8.82e-02    5.0e-06
  51800      2.10e-01    1.75e-01      1.27e-03    2.83e-03      8.62e-02    7.16e-02    4.9e-06
  52000      2.05e-01    1.22e-01      1.08e-03    1.85e-03      8.48e-02    5.03e-02    4.8e-06
  52200      1.49e-01    1.72e-01      1.08e-03    1.62e-03      6.21e-02    7.16e-02    4.7e-06
