#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      6.36e+01    6.14e+01      1.12e-01    1.05e-01      2.01e+00    1.94e+00    1.0e-03
    200      2.09e+01    2.24e+01      8.52e-01    8.57e-01      6.69e-01    7.15e-01    9.8e-04
    400      1.55e+01    1.99e+01      6.00e-01    6.10e-01      5.01e-01    6.42e-01    9.6e-04
    600      1.42e+01    1.04e+01      1.14e+00    1.14e+00      4.58e-01    3.35e-01    9.4e-04
    800      8.59e+00    1.48e+01      1.50e-02    1.43e-02      2.83e-01    4.88e-01    9.2e-04
   1000      7.92e+00    7.21e+00      2.63e-02    2.55e-02      2.64e-01    2.40e-01    9.0e-04
   1200      4.30e+00    5.72e+00      7.63e-03    8.33e-03      1.45e-01    1.92e-01    8.8e-04
   1400      5.46e+00    5.22e+00      1.03e-01    1.04e-01      1.85e-01    1.77e-01    8.7e-04
   1600      4.87e+00    4.84e+00      1.54e-01    1.57e-01      1.67e-01    1.66e-01    8.5e-04
   1800      4.49e+00    5.03e+00      2.24e-01    2.24e-01      1.54e-01    1.73e-01    8.3e-04
   2000      3.45e+00    3.91e+00      1.54e-01    1.51e-01      1.20e-01    1.36e-01    8.1e-04
   2200      4.67e+00    3.65e+00      1.65e-03    4.92e-03      1.65e-01    1.29e-01    8.0e-04
   2400      5.55e+00    4.15e+00      6.12e-02    6.22e-02      1.98e-01    1.48e-01    7.8e-04
   2600      3.05e+00    3.10e+00      5.63e-02    5.61e-02      1.10e-01    1.12e-01    7.7e-04
   2800      3.03e+00    2.38e+00      4.32e-02    4.45e-02      1.10e-01    8.69e-02    7.5e-04
   3000      3.05e+00    2.41e+00      1.20e-02    1.04e-02      1.12e-01    8.88e-02    7.4e-04
   3200      4.61e+00    3.74e+00      5.29e-02    5.14e-02      1.72e-01    1.39e-01    7.2e-04
   3400      3.26e+00    4.66e+00      6.29e-02    5.98e-02      1.22e-01    1.75e-01    7.1e-04
   3600      5.46e+00    2.25e+00      1.41e-01    1.44e-01      2.07e-01    8.39e-02    6.9e-04
   3800      2.68e+00    3.59e+00      5.44e-02    5.88e-02      1.03e-01    1.38e-01    6.8e-04
   4000      3.17e+00    3.32e+00      2.20e-01    2.20e-01      1.20e-01    1.26e-01    6.6e-04
   4200      2.72e+00    5.04e+00      2.34e-02    2.00e-02      1.06e-01    1.98e-01    6.5e-04
   4400      4.83e+00    2.90e+00      1.85e-02    1.41e-02      1.91e-01    1.15e-01    6.4e-04
   4600      2.93e+00    2.55e+00      5.88e-02    5.73e-02      1.17e-01    1.02e-01    6.2e-04
   4800      3.22e+00    1.97e+00      6.65e-03    7.44e-03      1.30e-01    7.96e-02    6.1e-04
   5000      3.18e+00    2.46e+00      3.29e-02    3.51e-02      1.30e-01    1.00e-01    6.0e-04
   5200      2.02e+00    2.72e+00      7.78e-02    7.60e-02      8.24e-02    1.12e-01    5.9e-04
   5400      4.09e+00    4.40e+00      1.53e-01    1.62e-01      1.69e-01    1.82e-01    5.7e-04
   5600      3.82e+00    3.85e+00      1.01e-01    1.00e-01      1.60e-01    1.62e-01    5.6e-04
